% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.153214	1	2	2	2.17936e-13	459.45	0
0.153214	1	3	1	6.8786e-14	145.014	0
0.154214	1	1	3	3.22601e-14	68.0102	0
0.154214	1	2	2	2.17943e-13	459.464	0
0.154214	1	3	1	6.87784e-14	144.998	0
0.155214	1	1	3	3.22609e-14	68.0119	0
0.155214	1	2	2	2.17949e-13	459.477	0
0.155214	1	3	1	6.87707e-14	144.981	0
0.156214	1	1	3	3.22617e-14	68.0136	0
0.156214	1	2	2	2.17956e-13	459.491	0
0.156214	1	3	1	6.87631e-14	144.965	0
0.157214	1	1	3	3.22625e-14	68.0153	0
0.157214	1	2	2	2.17962e-13	459.505	0
0.157214	1	3	1	6.87554e-14	144.949	0
0.158214	1	1	3	3.22633e-14	68.017	0
0.158214	1	2	2	2.17969e-13	459.518	0
0.158214	1	3	1	6.87478e-14	144.933	0
0.159214	1	1	3	3.22641e-14	68.0187	0
0.159214	1	2	2	2.17975e-13	459.532	0
0.159214	1	3	1	6.87401e-14	144.917	0
0.160214	1	1	3	3.22649e-14	68.0204	0
0.160214	1	2	2	2.17981e-13	459.545	0
0.160214	1	3	1	6.87325e-14	144.901	0
0.161214	1	1	3	3.22657e-14	68.0221	0
0.161214	1	2	2	2.17988e-13	459.559	0
0.161214	1	3	1	6.87248e-14	144.885	0
0.162214	1	1	3	3.22665e-14	68.0238	0
0.162214	1	2	2	2.17994e-13	459.572	0
0.162214	1	3	1	6.87172e-14	144.869	0
0.163214	1	1	3	3.22673e-14	68.0255	0
0.163214	1	2	2	2.18001e-13	459.586	0
0.163214	1	3	1	6.87096e-14	144.852	0
0.164214	1	1	3	3.22681e-14	68.0272	0
0.164214	1	2	2	2.18007e-13	459.599	0
0.164214	1	3	1	6.87019e-14	144.836	0
0.165214	1	1	3	3.22689e-14	68.0289	0
0.165214	1	2	2	2.18014e-13	459.613	0
0.165214	1	3	1	6.86943e-14	144.82	0
0.166214	1	1	3	3.22697e-14	68.0306	0
0.166214	1	2	2	2.1802e-13	459.626	0
0.166214	1	3	1	6.86866e-14	144.804	0
0.167214	1	1	3	3.22705e-14	68.0323	0
0.167214	1	2	2	2.18026e-13	459.64	0
0.167214	1	3	1	6.8679e-14	144.788	0
0.168214	1	1	3	3.22713e-14	68.034	0
0.168214	1	2	2	2.18033e-13	459.653	0
0.168214	1	3	1	6.86714e-14	144.772	0
0.169214	1	1	3	3.22721e-14	68.0357	0
0.169214	1	2	2	2.18039e-13	459.667	0
0.169214	1	3	1	6.86637e-14	144.756	0
0.170214	1	1	3	3.22729e-14	68.0373	0
0.170214	1	2	2	2.18046e-13	459.68	0
0.170214	1	3	1	6.86561e-14	144.74	0
0.171214	1	1	3	3.22738e-14	68.039	0
0.171214	1	2	2	2.18052e-13	459.694	0
0.171214	1	3	1	6.86485e-14	144.724	0
0.172214	1	1	3	3.22746e-14	68.0407	0
0.172214	1	2	2	2.18058e-13	459.707	0
0.172214	1	3	1	6.86409e-14	144.708	0
0.173214	1	1	3	3.22754e-14	68.0424	0
0.173214	1	2	2	2.18065e-13	459.721	0
0.173214	1	3	1	6.86332e-14	144.692	0
0.174214	1	1	3	3.22762e-14	68.0441	0
0.174214	1	2	2	2.18071e-13	459.734	0
0.174214	1	3	1	6.86256e-14	144.675	0
0.175214	1	1	3	3.2277e-14	68.0458	0
0.175214	1	2	2	2.18077e-13	459.748	0
0.175214	1	3	1	6.8618e-14	144.659	0
0.176214	1	1	3	3.22778e-14	68.0475	0
0.176214	1	2	2	2.18084e-13	459.761	0
0.176214	1	3	1	6.86103e-14	144.643	0
0.177214	1	1	3	3.22786e-14	68.0492	0
0.177214	1	2	2	2.1809e-13	459.775	0
0.177214	1	3	1	6.86027e-14	144.627	0
